Entry,ID,Na,Al,Si,H2O,Si source,Si precursor sizs (nm),Pre-dissolution of Si,Al source,Pre-dissolution of Al,Si/OH,Si/Al,Time (h),Temperature (°C),Product 
1,EP01,36.9,2.0,5.15,450,Fumed silica,2,No,Al(OH)3,No,0.13956639566395665,2.575,72.0,40,EMT+RHO
3,EP03,36.9,2.0,5.15,250,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,2.575,72.0,40,EMT+SOD
4,EP04,10.3,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.5,2.575,72.0,40,Amorphous
5,EP05,6.04,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.8526490066225166,2.575,72.0,40,Amorphous
6,EP06,9.23,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.5579631635969664,2.575,72.0,40,Amorphous
7,EP07,73.8,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.06978319783197832,2.575,72.0,40,84% LTA+ 16% RHO
8,EP08,110.7,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.04652213188798555,2.575,72.0,40,Solution
9,EP09,36.9,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,2.575,72.0,40,EMT
10,EP10,36.9,0.2,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,25.75,72.0,40,solution
11,EP11,36.9,1.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,5.15,72.0,40,EMT
12,EP12,36.9,5.15,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,1.0,72.0,40,89% LTA+11% EMT
13,EP13,36.9,2.0,5.15,650,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,2.575,72.0,40,EMT
14,EP14,36.9,10.3,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,0.5,72.0,40,LTA
15,EP15,44.18,2.0,5.15,450,Fumed silica,2,No,Al(OH)3,No,0.11656858306926211,2.575,72.0,40,EMT
16,EP16,36.9,0.5,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,10.3,72.0,40,solution
17,EP17,36.9,0.8,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,6.4375,72.0,40,EMT
18,EP18,36.9,1.5,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,3.4333333333333336,72.0,40,EMT
19,EP19,36.9,3.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,1.7166666666666668,72.0,40,86% EMT+ 14%LTA
20,EP20,36.9,4.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.13956639566395665,1.2875,72.0,40,62% EMT+ 38% LTA
21,EP21,51.5,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.1,2.575,72.0,40,98% EMT+ 2% LTA
22,EP22,48.0,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.10729166666666667,2.575,72.0,40,EMT
23,EP23,40.0,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.12875,2.575,72.0,40,EMT
24,EP24,34.0,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.15147058823529413,2.575,72.0,40,EMT
25,EP25,32.0,2.0,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.1609375,2.575,72.0,40,EMT
26,EP26,34.0,1.6,5.15,450,Na2SiO3,2,Yes,NaAlO2,Yes,0.15147058823529413,3.21875,72.0,40,EMT
