Entry,ID,Na,Al,Si,H2O,Si_source_Fumed silica,Si_source_Ludox-AS40,Si_source_Ludox-SM30,Si_source_Na2SiO3,Si_source_TEOS,Si precursor sizs (nm),Pre-dissolution of Si,Al_source_Al(OH)3,Al_source_NaAlO2,Pre-dissolution of Al,Si/OH,Si/Al,Time (h),Temperature (°C),EMT
1,EP01,36.9,2.0,5.15,450,1,0,0,0,0,2,0,1,0,0,0.1395663956639566,2.575,72.0,40,0
3,EP03,36.9,2.0,5.15,250,0,0,0,1,0,2,1,0,1,1,0.1395663956639566,2.575,72.0,40,0
9,EP09,36.9,2.0,5.15,450,0,0,0,1,0,2,1,0,1,1,0.1395663956639566,2.575,72.0,40,1
11,EP11,36.9,1.0,5.15,450,0,0,0,1,0,2,1,0,1,1,0.1395663956639566,5.15,72.0,40,1
13,EP13,36.9,2.0,5.15,650,0,0,0,1,0,2,1,0,1,1,0.1395663956639566,2.575,72.0,40,1
15,EP15,44.18,2.0,5.15,450,1,0,0,0,0,2,0,1,0,0,0.1165685830692621,2.575,72.0,40,1
17,EP17,36.9,0.8,5.15,450,0,0,0,1,0,2,1,0,1,1,0.1395663956639566,6.4375,72.0,40,1
18,EP18,36.9,1.5,5.15,450,0,0,0,1,0,2,1,0,1,1,0.1395663956639566,3.433333333333334,72.0,40,1
22,EP22,48.0,2.0,5.15,450,0,0,0,1,0,2,1,0,1,1,0.1072916666666667,2.575,72.0,40,1
23,EP23,40.0,2.0,5.15,450,0,0,0,1,0,2,1,0,1,1,0.12875,2.575,72.0,40,1
24,EP24,34.0,2.0,5.15,450,0,0,0,1,0,2,1,0,1,1,0.1514705882352941,2.575,72.0,40,1
25,EP25,32.0,2.0,5.15,450,0,0,0,1,0,2,1,0,1,1,0.1609375,2.575,72.0,40,1
26,EP26,34.0,1.6,5.15,450,0,0,0,1,0,2,1,0,1,1,0.1514705882352941,3.21875,72.0,40,1
27,EP27,34.0,1.0,5.15,450,0,0,0,1,0,2,1,0,1,1,0.1514705882352941,5.15,72.0,40,1
30,EP30,36.9,1.0,4.0,450,0,0,0,1,0,2,1,0,1,1,0.1084010840108401,4.0,72.0,40,1
32,EP32,36.9,1.8,6.5,450,0,0,0,1,0,2,1,0,1,1,0.1761517615176152,3.611111111111111,72.0,40,1
33,EP33,36.9,1.0,6.5,450,0,0,0,1,0,2,1,0,1,1,0.1761517615176152,6.5,72.0,40,1
35,EP35,36.9,0.5,4.5,450,0,0,0,1,0,2,1,0,1,1,0.1219512195121951,9.0,72.0,40,0
36,EP36,36.9,1.5,7.5,450,0,0,0,1,0,2,1,0,1,1,0.2032520325203252,5.0,72.0,40,1
39,EP39,36.9,0.5,3.5,450,0,0,0,1,0,2,1,0,1,1,0.0948509485094851,7.0,72.0,40,0
40,EP40,36.9,2.5,6.8,450,0,0,0,1,0,2,1,0,1,1,0.1842818428184282,2.72,72.0,40,1
43,EP43,36.9,1.0,7.8,450,0,0,0,1,0,2,1,0,1,1,0.2113821138211382,7.8,72.0,40,1
45,EP45,36.9,2.0,8.4,450,0,0,0,1,0,2,1,0,1,1,0.2276422764227642,4.2,72.0,40,1
47,EP47,36.9,3.0,7.5,450,0,0,0,1,0,2,1,0,1,1,0.2032520325203252,2.5,72.0,40,1
49,EP49,36.9,1.0,9.0,450,0,0,0,1,0,2,1,0,1,1,0.2439024390243903,9.0,72.0,40,1
51,EP51,36.9,3.5,9.0,450,0,0,0,1,0,2,1,0,1,1,0.2439024390243903,2.571428571428572,72.0,40,1
53,EP53,36.9,1.5,9.5,450,0,0,0,1,0,2,1,0,1,1,0.2574525745257453,6.333333333333333,72.0,40,0
54,EP54,36.9,2.5,10.0,450,0,0,0,1,0,2,1,0,1,1,0.2710027100271003,4.0,72.0,40,0
