Entry,ID,Na,Al,Si,H2O,Si source,Si precursor sizs (nm),Pre-dissolution of Si,Al source,Pre-dissolution of Al,Clear solution after mixing,Si/OH,Si/Al,Time (h),Temperature (°C),Morphology,Product Si/Al,SBET (m2/g),Sexternal (m2/g),Vmicro (cm3/g),pH,Product ,Unnamed: 23
1,EP01,36.9,2.0,5.15,450,Fumed silica,,No,Al(OH)3,No,No,0.13956639566395665,2.575,72.0,40,,,,,,,EMT+RHO,
2,EP02,36.9,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.13956639566395665,2.575,72.0,40,nanocrystal,1.12,563.72,187.73,0.16,13.47,EMT,
3,EP03,36.9,2.0,5.15,250,Na2SiO3,2.0,Yes,NaAlO2,Yes,No,0.13956639566395665,2.575,72.0,40,,,,,,,EMT+SOD,
4,EP04,10.3,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,No,0.5,2.575,72.0,40,,,,,,13.2,Amorphous,
5,EP05,6.04,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,No,0.8526490066225166,2.575,72.0,40,,,,,,12.93,Amorphous,
6,EP06,9.23,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,No,0.5579631635969664,2.575,72.0,40,,,,,,13.24,Amorphous,
7,EP07,73.8,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.06978319783197832,2.575,72.0,40,,,,,,13.06,84% LTA+ 16% RHO,xx% mass percentage 
8,EP08,110.7,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.04652213188798555,2.575,72.0,40,,,,,,11.28,Solution,no precipitation 
9,EP09,36.9,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.13956639566395665,2.575,72.0,40,nanocrystal,1.12,563.72,187.73,0.16,13.47,EMT,
10,EP10,36.9,0.2,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.13956639566395665,25.75,72.0,40,,,,,,13.64,solution,
11,EP11,36.9,1.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.13956639566395665,5.15,72.0,40,nanocrystal,1.1,737.17,223.12,0.21,13.53,EMT,
12,EP12,36.9,5.15,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,No,0.13956639566395665,1.0,72.0,40,,,,,,13.54,89% LTA+11% EMT,
13,EP13,36.9,2.0,5.15,650,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.13956639566395665,2.575,72.0,40,nanocrystal,,,,,13.64,EMT,
14,EP14,36.9,10.3,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,No,0.13956639566395665,0.5,72.0,40,,,,,,13.71,LTA,
15,EP15,44.18,2.0,5.15,450,Fumed silica,,No,Al(OH)3,No,Yes,0.11656858306926211,2.575,72.0,40,nanocrystal,,,,,13.53,EMT,
